churn_event_id,account_id,churn_date,reason_code,refund_amount_usd,preceding_upgrade_flag,preceding_downgrade_flag,is_reactivation,feedback_text
CE-1eac9873,A-fdeda5,2024-12-24,competitor,0.0,False,False,False,Support response times were too slow.
CE-cf0856f7,A-a721c1,2022-12-20,pricing,0.0,True,True,False,
CE-62272ffa,A-ed6bb8,2021-04-17,features,499.88,True,False,False,Pricing increased beyond our budget.
CE-13b7f574,A-f7395b,2023-01-25,pricing,0.0,False,True,False,Pricing increased beyond our budget.
CE-22360245,A-37b909,2022-08-03,pricing,0.0,True,False,False,Team no longer needed this functionality.
CE-4d0ab239,A-4cf7f7,2023-04-23,budget,0.0,False,False,False,
CE-d2b31000,A-faad0f,2021-02-08,competitor,0.0,False,False,False,Budget cuts forced us to cancel.
CE-532af99d,A-0edc7e,2024-03-26,pricing,0.0,True,False,False,Tool didn't integrate well with our stack.
CE-98326af7,A-8563a7,2023-06-15,features,0.0,False,False,True,Product lacked key features we needed.
CE-2bba9ae7,A-0268ce,2021-02-11,support,0.0,False,False,False,Budget cuts forced us to cancel.
CE-69699433,A-dee10f,2023-11-01,budget,0.0,False,False,False,Product lacked key features we needed.
CE-e631015e,A-ca5e0e,2022-12-31,competitor,0.0,False,False,False,Support response times were too slow.
CE-22627f62,A-186adc,2021-10-20,budget,0.0,True,False,False,Team no longer needed this functionality.
CE-0b04d8db,A-ba7ab9,2024-06-07,pricing,0.0,True,False,False,Tool didn't integrate well with our stack.
CE-47ea2fb3,A-76a68f,2023-01-06,budget,0.0,True,False,False,Product lacked key features we needed.
CE-e2c214df,A-abbbd0,2024-07-26,budget,0.0,False,False,False,Support response times were too slow.
CE-5408ef47,A-377924,2022-02-28,competitor,0.0,False,True,False,Tool didn't integrate well with our stack.
CE-78cbdb62,A-dc726d,2021-02-14,pricing,0.0,False,False,False,Tool didn't integrate well with our stack.
CE-ab75d65c,A-2c3420,2024-03-08,features,0.0,False,False,False,Tool didn't integrate well with our stack.
CE-c6344806,A-6e303f,2021-08-23,unknown,0.0,True,False,False,
CE-ba17b198,A-0c9ef2,2023-05-13,competitor,113.12,False,True,True,Tool didn't integrate well with our stack.
CE-e6fd814d,A-a721c1,2023-02-16,features,328.59,True,True,False,
CE-2195bbaa,A-b0fdf8,2021-01-23,features,194.36,False,False,False,
CE-b8dd7b30,A-68ffd0,2021-07-01,unknown,0.0,False,False,False,Pricing increased beyond our budget.
CE-f12a9353,A-6df3cb,2024-07-05,pricing,0.0,False,False,False,Tool didn't integrate well with our stack.
CE-b80b67fd,A-949e9c,2024-01-04,unknown,110.98,False,False,False,Tool didn't integrate well with our stack.
CE-14160f32,A-891867,2022-01-14,support,31.56,False,False,False,Team no longer needed this functionality.
CE-fb56f38b,A-9e9f30,2023-02-15,support,263.51,False,False,False,Found a cheaper alternative.
CE-755f1ce5,A-4f71e8,2022-02-08,pricing,0.0,False,False,False,
CE-b8133cb3,A-3a3477,2022-04-08,competitor,344.36,False,False,False,Team no longer needed this functionality.
CE-814cebad,A-ece32d,2021-01-07,features,0.0,True,False,False,Support response times were too slow.
CE-3ae27a9a,A-1b90d5,2024-05-11,support,0.0,False,False,False,Budget cuts forced us to cancel.
CE-1439688f,A-3841e3,2021-03-15,budget,43.71,False,False,False,Team no longer needed this functionality.
CE-7328e093,A-26bbfd,2021-05-23,features,28.07,False,False,False,Tool didn't integrate well with our stack.
CE-3e7a16bd,A-71c2db,2021-03-16,unknown,0.0,False,False,False,Support response times were too slow.
CE-97189344,A-f89626,2023-02-22,budget,0.0,False,False,False,Team no longer needed this functionality.
CE-9b9f0524,A-e6ef8b,2024-06-03,pricing,0.0,False,False,False,
CE-d702754d,A-144089,2022-05-06,features,0.0,False,False,False,Pricing increased beyond our budget.
CE-929ad046,A-8d201d,2024-10-02,competitor,239.92,True,False,False,
CE-5cee41c2,A-3f9994,2024-03-18,features,0.0,False,False,False,Found a cheaper alternative.
CE-702ac15e,A-5ba322,2022-08-14,features,0.0,False,False,False,Pricing increased beyond our budget.
CE-3333591b,A-f4c25c,2021-03-31,features,0.0,True,False,True,Product lacked key features we needed.
CE-e8cd08be,A-04a246,2023-11-15,unknown,0.0,False,False,False,Product lacked key features we needed.
CE-e65815ea,A-715861,2022-11-22,budget,472.97,False,False,False,Team no longer needed this functionality.
CE-128a5f6f,A-c1d6f0,2022-11-11,budget,0.0,True,True,False,Support response times were too slow.
CE-8f672902,A-4064bb,2022-11-19,budget,0.0,True,False,False,Tool didn't integrate well with our stack.
CE-2114e7ee,A-46d001,2024-06-30,competitor,0.0,True,False,True,Pricing increased beyond our budget.
CE-c5e25062,A-8b3a95,2023-11-28,pricing,0.0,False,False,False,Found a cheaper alternative.
CE-a84ac172,A-8e16f1,2022-01-21,unknown,380.56,False,False,False,Pricing increased beyond our budget.
CE-7a2c0b96,A-d8771a,2023-09-13,budget,0.0,False,False,False,Team no longer needed this functionality.
CE-69a786a5,A-0ff5dc,2024-09-17,unknown,0.0,False,False,False,Support response times were too slow.
CE-0a7c86a9,A-bda37c,2022-10-03,unknown,141.82,False,False,False,Pricing increased beyond our budget.
CE-e6c52f57,A-cc6cd9,2023-02-14,features,0.0,False,False,False,Tool didn't integrate well with our stack.
CE-9b310048,A-1ce57d,2023-05-22,support,0.0,False,False,False,Team no longer needed this functionality.
CE-f49fb6a6,A-54f16c,2024-07-19,pricing,0.0,False,False,False,Tool didn't integrate well with our stack.
CE-8a9fd056,A-a98afd,2021-03-03,competitor,0.0,True,False,False,Pricing increased beyond our budget.
CE-c9617c14,A-1bf244,2022-09-09,budget,346.94,False,False,False,Pricing increased beyond our budget.
CE-021303ce,A-dee10f,2022-01-04,unknown,0.0,False,False,False,
CE-0a5f56d3,A-275a5e,2021-04-22,features,0.0,False,False,False,Pricing increased beyond our budget.
CE-f00ac4ab,A-5c19da,2024-11-20,pricing,0.0,False,True,False,Found a cheaper alternative.
CE-3047dbd7,A-396e8b,2022-08-28,competitor,345.56,False,False,False,Budget cuts forced us to cancel.
CE-c095a3f6,A-b515e1,2024-05-03,support,0.0,True,False,True,Pricing increased beyond our budget.
CE-11b55928,A-168fe2,2023-11-30,pricing,0.0,False,False,False,Support response times were too slow.
CE-4827b634,A-d78e97,2024-12-12,features,474.75,False,False,False,Tool didn't integrate well with our stack.
CE-b0c7fb01,A-3a3477,2021-04-30,pricing,0.0,False,False,False,Budget cuts forced us to cancel.
CE-0db1afa2,A-f89626,2021-02-12,pricing,0.0,False,False,False,Product lacked key features we needed.
CE-df034925,A-f11b19,2021-07-26,pricing,0.0,True,False,False,Product lacked key features we needed.
CE-a012edc6,A-7b8bff,2023-03-21,budget,274.64,False,False,False,Budget cuts forced us to cancel.
CE-4a1b4aa4,A-3f9994,2022-10-11,competitor,0.0,False,False,False,Product lacked key features we needed.
CE-af828d80,A-a54ab8,2024-11-23,budget,0.0,False,True,False,Support response times were too slow.
CE-6224d625,A-961183,2023-05-11,competitor,0.0,False,False,False,Product lacked key features we needed.
CE-b0221893,A-5e8a5d,2023-12-21,competitor,0.0,False,False,False,
CE-aeb8cabd,A-741acd,2023-04-18,support,0.0,True,False,False,
CE-e875e8a3,A-c6ab7a,2023-03-07,budget,0.0,False,False,False,Budget cuts forced us to cancel.
CE-6fa85763,A-77d382,2024-04-20,pricing,29.98,False,False,False,Tool didn't integrate well with our stack.
CE-771e7b7d,A-e6e3cd,2023-07-21,unknown,326.77,False,True,True,Support response times were too slow.
CE-2d70e7b7,A-e1796c,2021-01-23,support,0.0,True,False,True,Support response times were too slow.
CE-e3c9ea6a,A-5d149a,2024-09-18,features,0.0,False,False,False,Found a cheaper alternative.
CE-96c1e37e,A-fb30f4,2022-12-15,budget,465.77,True,False,False,Budget cuts forced us to cancel.
CE-13e2b800,A-c402fb,2024-11-23,support,0.0,False,False,False,Budget cuts forced us to cancel.
CE-5338158e,A-82c3e3,2024-09-25,budget,0.0,False,False,False,Budget cuts forced us to cancel.
CE-4a23df98,A-6fdb5c,2022-11-14,unknown,317.46,False,False,False,Support response times were too slow.
CE-bfc866e8,A-410bfd,2021-09-18,budget,0.0,True,False,False,Found a cheaper alternative.
CE-403c3e09,A-7231b2,2024-09-28,features,0.0,False,False,False,Team no longer needed this functionality.
CE-bf49ff28,A-396e8b,2021-06-08,pricing,0.0,False,False,False,
CE-7147791b,A-275a5e,2022-02-28,support,0.0,True,False,False,
CE-06db5d99,A-1f7327,2021-08-08,unknown,0.0,False,False,False,Support response times were too slow.
CE-36e68060,A-48a544,2021-09-07,competitor,0.0,False,True,False,Team no longer needed this functionality.
CE-e3f3afb6,A-f43965,2023-02-24,support,0.0,False,False,False,Team no longer needed this functionality.
CE-e8cf58e2,A-825eb0,2021-02-07,budget,0.0,False,False,False,Found a cheaper alternative.
CE-e9c5cb11,A-ece32d,2023-08-23,features,0.0,False,False,False,Found a cheaper alternative.
